Date,Open,High,Low,Close,Volume,Adj Close
7/1/2011,132.09,134.1,131.78,133.92,202370700,133.92
6/30/2011,131.14,132.18,130.71,131.97,223496600,131.97
6/29/2011,130.2,130.93,129.63,130.72,244295500,130.72
6/28/2011,128.45,129.63,128.27,129.61,165556300,129.61
6/27/2011,126.89,128.43,126.64,127.94,168904700,127.94
6/24/2011,128.27,128.37,126.62,126.81,226129300,126.81
6/23/2011,127.16,128.64,126.19,128.3,334286500,128.3
6/22/2011,129.05,129.81,128.59,128.67,176703000,128.67
6/21/2011,128.36,129.7,127.75,129.45,193157300,129.45
6/20/2011,126.62,127.97,126.58,127.7,159479000,127.7
6/17/2011,127.93,127.94,126.62,127.05,233284900,127.05
6/16/2011,127.06,127.97,126.32,127.3,308032800,126.67
6/15/2011,128.24,129.3,126.68,127.02,300958000,126.39
6/14/2011,128.87,129.77,128.82,129.32,160570400,128.68
6/13/2011,127.89,128.24,127.05,127.7,207599800,127.07
6/10/2011,128.85,128.93,127.26,127.6,238629400,126.97
6/9/2011,128.77,129.93,128.46,129.4,160964400,128.76
6/8/2011,128.76,129.19,128.18,128.42,198696400,127.79
6/7/2011,129.7,130.07,128.85,128.96,161660500,128.32
6/6/2011,130.09,130.36,128.87,129.04,179951200,128.4
6/3/2011,130.15,131.42,130.08,130.42,234690200,129.78
6/2/2011,131.96,132.24,130.96,131.73,200466800,131.08
6/1/2011,134.51,134.92,131.76,131.87,233094300,131.22
5/31/2011,134.77,134.92,133.84,134.9,164731200,134.23
5/27/2011,133.37,133.87,132.96,133.51,120921900,132.85
5/26/2011,132.03,133.24,131.78,133,164850000,132.34
5/25/2011,132.39,132.94,131.38,132.39,151050100,131.74
5/24/2011,132.44,132.73,131.7,131.95,147199600,131.3
5/23/2011,131.98,132.72,131.59,132.06,168700000,131.41
5/20/2011,134.33,134.68,133.36,133.61,182594900,132.95
5/19/2011,134.8,135.03,133.94,134.68,119489500,134.02
5/18/2011,133.24,134.5,132.95,134.36,135217900,133.7
5/17/2011,132.69,133.35,132.12,133.17,192686200,132.51
5/16/2011,133.56,134.61,132.97,133.19,141675400,132.53
5/13/2011,135.15,135.34,133.56,134.04,157444900,133.38
5/12/2011,134.08,135.36,133.39,135.08,171550700,134.41
5/11/2011,135.67,135.69,133.82,134.44,193564200,133.78
5/10/2011,135.17,136.11,135,135.87,114806900,135.2
5/9/2011,134.19,135.11,133.98,134.72,114104500,134.06
5/6/2011,134.94,135.63,133.68,134.2,222787200,133.54
5/5/2011,134.08,134.95,133.02,133.61,226900000,132.95
5/4/2011,135.67,135.73,134.23,134.83,182678500,134.16
5/3/2011,135.96,136.19,135.04,135.73,138375000,135.06
5/2/2011,137.07,137.18,135.95,136.22,126278700,135.55
4/29/2011,136.16,136.57,135.98,136.43,115094100,135.76
4/28/2011,135.43,136.29,135.41,136.11,124791100,135.44
4/27/2011,135.05,135.87,134.5,135.67,143031000,135
4/26/2011,134.05,135.06,133.91,134.79,146600000,134.13
4/25/2011,133.68,133.86,133.2,133.64,65757100,132.98
4/21/2011,133.79,133.84,133.1,133.78,135935400,133.12
4/20/2011,132.88,133.39,132.79,133.1,156133800,132.44
4/19/2011,130.76,131.35,130.44,131.31,124258800,130.66
4/18/2011,130.59,132.03,129.51,130.56,210759300,129.92
4/15/2011,131.8,132.37,131.41,132.04,170006700,131.39
4/14/2011,130.7,131.76,130.27,131.56,161220400,130.91
4/13/2011,132.08,132.18,130.96,131.46,162059000,130.81
4/12/2011,131.72,131.98,130.99,131.47,161187400,130.82
4/11/2011,133,133.45,132.14,132.46,121385400,131.81
4/8/2011,133.91,133.99,132.31,132.86,147945400,132.2
4/7/2011,133.42,133.98,132.66,133.32,170731500,132.66
4/6/2011,133.88,134,133.12,133.66,120411600,133
4/5/2011,133,133.83,132.94,133.24,120966600,132.58
4/4/2011,133.43,133.67,132.88,133.26,100768900,132.6
4/1/2011,133.41,133.77,132.83,133.15,153850100,132.49
3/31/2011,132.6,132.96,132.45,132.59,132537100,131.94
3/30/2011,132.55,133.16,132.36,132.77,135835000,132.12
3/29/2011,130.87,131.9,130.44,131.86,129798800,131.21
3/28/2011,131.58,131.92,130.94,130.98,109762400,130.33
3/25/2011,131.24,131.87,130.89,131.3,155642800,130.65
3/24/2011,130.4,131.09,129.67,130.9,159129800,130.25
3/23/2011,128.93,130,128.32,129.66,148603100,129.02
3/22/2011,129.72,129.89,129.17,129.29,129538600,128.65
3/21/2011,129.35,130.01,129.2,129.74,153992600,129.1
3/18/2011,128.84,128.88,127.51,127.76,230435400,127.13
3/17/2011,128,128.39,127.1,127.85,254303700,126.67
3/16/2011,128.15,128.57,125.28,126.18,468670300,125.01
3/15/2011,126.59,129.33,126.5,128.56,359585400,127.37
3/14/2011,129.99,130.48,129.06,130.05,234974100,128.85
3/11/2011,129.52,131.31,129.49,130.84,225621800,129.63
3/10/2011,131,131.18,129.81,129.94,301291800,128.74
3/9/2011,132.32,132.8,131.6,132.39,153806000,131.17
3/8/2011,131.64,133,131.07,132.58,174615000,131.36
3/7/2011,132.86,133.16,130.74,131.43,216790400,130.22
3/4/2011,133.37,133.63,131.6,132.47,277202300,131.25
3/3/2011,132.4,133.62,132.39,133.47,176480100,132.24
3/2/2011,130.75,131.82,130.35,131.21,200277400,130
3/1/2011,133.57,133.69,130.89,130.93,258565500,129.72
2/28/2011,132.82,133.32,132.38,133.15,141585500,131.92
2/25/2011,131.48,132.41,131.4,132.33,141686900,131.11
2/24/2011,130.88,131.44,129.7,130.93,260431400,129.72
2/23/2011,131.75,132.07,130.21,131.02,227584000,129.81
2/22/2011,133.12,134.56,131.47,131.83,233116400,130.61
2/18/2011,134.37,134.69,134.06,134.53,130002400,133.29
2/17/2011,133.46,134.43,133.34,134.25,109810500,133.01
2/16/2011,133.46,134.01,133.19,133.85,130183500,132.61
2/15/2011,133.02,133.22,132.32,133.01,119575400,131.78
2/14/2011,133.03,133.54,132.88,133.43,101690700,132.2
2/11/2011,131.8,133.28,131.77,133.11,137710300,131.88
2/10/2011,131.6,132.47,131.3,132.32,162708500,131.1
2/9/2011,132.21,132.63,131.61,132.27,146436700,131.05
2/8/2011,132.09,132.64,131.73,132.57,99072800,131.35
2/7/2011,131.44,132.4,131.43,131.97,112439100,130.75
2/4/2011,130.83,131.2,130.23,131.15,134634800,129.94
2/3/2011,130.26,130.98,129.57,130.78,145886700,129.57
2/2/2011,130.4,130.84,130.33,130.49,118323600,129.28
2/1/2011,129.46,130.97,129.38,130.74,166962200,129.53
1/31/2011,128.07,128.78,127.75,128.68,149249200,127.49
1/28/2011,130.14,130.35,127.51,127.72,295637300,126.54
1/27/2011,129.7,130.21,129.47,129.99,123302700,128.79
1/26/2011,129.49,130.05,129.23,129.67,141281500,128.47
1/25/2011,128.76,129.28,128.11,129.17,167552200,127.98
1/24/2011,128.29,129.25,128.26,129.1,113715500,127.91
1/21/2011,128.88,129.17,128.23,128.37,151462900,127.18
1/20/2011,127.96,128.4,127.13,128.08,175745700,126.9
1/19/2011,129.41,129.54,127.91,128.25,151958400,127.07
1/18/2011,129.18,129.64,129.03,129.52,114401300,128.32
1/14/2011,128.19,129.33,128.1,129.3,117677900,128.11
1/13/2011,128.63,128.69,128.05,128.37,129048400,127.18
1/12/2011,128.21,128.72,127.46,128.58,107929200,127.39
1/11/2011,127.44,127.74,126.95,127.43,110287000,126.25
1/10/2011,126.58,127.16,126.2,126.98,122401700,125.81
1/7/2011,127.56,127.77,126.15,127.14,156034600,125.97
1/6/2011,127.69,127.83,127.01,127.39,122519000,126.21
1/5/2011,126.58,127.72,126.46,127.64,133975300,126.46
1/4/2011,127.33,127.37,126.19,126.98,137409700,125.81
1/3/2011,126.71,127.6,125.7,127.05,138725200,125.88
12/31/2010,125.53,125.87,125.33,125.75,91218900,124.59
12/30/2010,125.8,126.13,125.53,125.72,76616900,124.56
12/29/2010,125.98,126.2,125.9,125.92,58033100,124.76
12/28/2010,125.9,125.95,125.5,125.83,55309100,124.67
12/27/2010,125.13,125.77,125.04,125.65,58126000,124.49
12/23/2010,125.64,125.78,125.29,125.6,70053700,124.44
12/22/2010,125.48,125.82,125.41,125.78,78878100,124.62
12/21/2010,124.99,125.47,124.87,125.39,94965500,124.23
12/20/2010,124.64,124.9,123.98,124.6,119085500,123.45
12/17/2010,124.08,124.46,123.82,124.3,141075300,123.15
12/16/2010,124.18,124.91,123.75,124.82,185035200,123.02
12/15/2010,124.44,124.93,123.89,124.1,160823100,122.31
12/14/2010,124.75,125.23,124.29,124.67,147249600,122.87
12/13/2010,125.05,125.2,124.52,124.56,133812700,122.76
12/10/2010,124.14,124.6,123.73,124.48,117571700,122.68
12/9/2010,123.97,124.02,123.15,123.76,123705100,121.98
12/8/2010,122.98,123.38,122.41,123.28,138019200,121.5
12/7/2010,123.94,124.01,122.76,122.83,206581000,121.06
12/6/2010,122.63,123.04,122.5,122.76,103050500,120.99
12/3/2010,122.14,123.03,122.11,122.89,151288900,121.12
12/2/2010,121.2,122.65,121.13,122.56,191213600,120.79
12/1/2010,120.2,121.24,120.19,121.01,221037200,119.26
11/30/2010,117.98,119.17,117.81,118.49,233930700,116.78
11/29/2010,118.5,119.48,117.74,119.16,223642300,117.44
11/26/2010,119.16,119.81,118.8,118.8,75977600,117.09
11/24/2010,119.2,120.23,119.18,120.2,140046100,118.47
11/23/2010,118.77,119.02,117.99,118.45,222309000,116.74
11/22/2010,119.69,120.24,118.77,120.19,181361000,118.46
